solve time, robustness, T
25.94890,0.30179,40.00000
27.54069,0.46090,40.00000
12.61140,0.23693,40.00000
20.23354,0.46650,40.00000
21.64463,0.46488,40.00000
24.58635,0.34887,45.00000
26.33338,0.41472,45.00000
14.39852,0.40981,45.00000
19.17098,0.49686,45.00000
17.51123,0.49686,45.00000
34.96815,0.44521,50.00000
18.00436,0.49676,50.00000
34.86608,0.38824,50.00000
28.49014,0.49676,50.00000
16.29567,0.49676,50.00000
33.61701,0.00868,55.00000
17.60886,0.49667,55.00000
34.51106,0.44511,55.00000
17.91724,0.49667,55.00000
20.12061,0.49667,55.00000
20.20782,0.50000,60.00000
42.43911,0.34876,60.00000
20.15903,0.49658,60.00000
18.08412,0.49658,60.00000
36.74740,0.42220,60.00000
18.66794,0.49650,65.00000
16.06228,0.49650,65.00000
27.65920,0.49650,65.00000
18.63338,0.49650,65.00000
37.01840,0.37833,65.00000
25.69151,0.49712,70.00000
17.18433,0.50000,70.00000
30.91790,0.49643,70.00000
36.21046,0.49643,70.00000
28.33724,0.43032,70.00000
24.12138,0.49636,75.00000
25.02658,0.49636,75.00000
31.77196,0.49706,75.00000
28.02960,0.49636,75.00000
30.69586,0.49685,75.00000
44.95468,0.37823,80.00000
25.97713,0.49630,80.00000
33.59276,0.49699,80.00000
36.57173,0.49709,80.00000
45.11599,0.42205,80.00000
45.90438,0.49624,85.00000
25.45387,0.49624,85.00000
32.57712,0.49693,85.00000
41.57124,0.49624,85.00000
24.39697,0.49624,85.00000
22.11139,0.49618,90.00000
53.97140,0.49618,90.00000
35.39020,0.49669,90.00000
56.49877,0.44590,90.00000
19.13603,0.43553,90.00000
36.54955,0.49613,95.00000
39.82427,0.49617,95.00000
33.11644,0.49613,95.00000
47.75062,0.49682,95.00000
54.79379,0.49723,95.00000
53.55037,0.49718,100.00000
30.10372,0.49608,100.00000
40.60977,0.49608,100.00000
40.76144,0.49608,100.00000
47.09721,0.49718,100.00000
52.78800,0.49742,105.00000
38.93463,0.49603,105.00000
39.11550,0.49603,105.00000
38.60716,0.49672,105.00000
43.66492,0.49603,105.00000
40.66350,0.49598,110.00000
45.63149,0.49737,110.00000
50.19595,0.49708,110.00000
45.28317,0.49708,110.00000
36.22802,0.49598,110.00000
40.84676,0.49594,115.00000
54.16274,0.49594,115.00000
38.49932,0.49594,115.00000
35.06052,0.49189,115.00000
61.87938,0.49663,115.00000
67.88434,0.49590,120.00000
68.89469,0.44478,120.00000
39.89118,0.49590,120.00000
34.41154,0.49590,120.00000
50.78186,0.49700,120.00000
63.99789,0.49523,125.00000
38.40841,0.49584,125.00000
36.87183,0.49586,125.00000
31.88698,0.49586,125.00000
31.84096,0.49586,125.00000
32.16284,0.49582,130.00000
48.86398,0.49493,130.00000
53.16689,0.49582,130.00000
53.77391,0.49651,130.00000
59.83509,0.49761,130.00000
67.57651,0.49786,135.00000
61.54870,0.49688,135.00000
56.62885,0.49578,135.00000
57.44980,0.49129,135.00000

