# solve time, robustness, horizon, smooth k
580.40315,-0.74976,50.00000,10.00000
1185.23941,-0.76929,50.00000,1000.00000
1767.01563,-0.74964,50.00000,10.00000
2369.36783,-0.76929,50.00000,1000.00000

348.23386,-0.12159,50.00000,10.00000
951.25405,-0.01371,50.00000,1000.00000
1126.06545,-0.09767,50.00000,10.00000
1729.78336,-0.01422,50.00000,1000.00000

232.49183,0.20430,50.00000,10.00000
443.51166,0.21308,50.00000,1000.00000
705.10529,0.20071,50.00000,10.00000
885.58941,0.21308,50.00000,1000.00000

580.92140,-0.27811,50.00000,10.00000
1182.18847,-0.20803,50.00000,1000.00000
1763.48778,-0.23923,50.00000,10.00000
2365.43218,-0.01000,50.00000,1000.00000

491.59351,-0.06825,50.00000,10.00000
1093.61252,-0.01000,50.00000,1000.00000
1586.60157,-0.08305,50.00000,10.00000
2188.28529,-0.01000,50.00000,1000.00000

319.04504,0.40000,50.00000,10.00000
409.79861,0.39953,50.00000,1000.00000
496.74674,0.40000,50.00000,10.00000
556.76036,0.39906,50.00000,1000.00000

580.67050,-1.23495,50.00000,10.00000
1183.26191,-0.20532,50.00000,1000.00000
1444.51229,-0.10000,50.00000,10.00000
2046.91685,-0.20532,50.00000,1000.00000

406.49402,-0.04030,50.00000,10.00000
1009.47870,-0.01000,50.00000,1000.00000
1530.54465,-0.01680,50.00000,10.00000
2133.56256,-0.01000,50.00000,1000.00000

347.55824,0.40000,50.00000,10.00000
407.79400,0.39953,50.00000,1000.00000
494.90929,0.40000,50.00000,10.00000
555.15388,0.39906,50.00000,1000.00000

232.44811,-0.10132,50.00000,10.00000
835.82703,-0.20532,50.00000,1000.00000
1096.40868,-0.06830,50.00000,10.00000
1307.21392,0.01607,50.00000,1000.00000
